event_num,duration,duration(s),ft_change,ut_change,tank_change,flowmeter,flowmeter-tank,num_max_feces,num_max_urine
1.0,0 days 00:01:29.000000000,89.0,0.5009999999999999,0.16999999999999962,0.6709999999999995,3.466666666666667,2.7956666666666674,1.0,1.0
2.0,0 days 00:01:18.000000000,78.0,1.7119999999999993,0.12999999999999962,1.841999999999999,1.725,-0.11699999999999888,1.0,1.0
3.0,0 days 00:02:41.000000000,161.0,1.8800000000000092,0.08000000000000007,1.9600000000000093,9.320833333333333,7.360833333333323,3.0,1.0
4.0,0 days 00:04:11.000000000,251.0,13.181000000000015,1.6000000000000019,14.781000000000017,17.480833333333333,2.6998333333333164,5.0,4.0
5.0,0 days 00:02:51.000000000,171.0,7.850000000000001,1.4099999999999988,9.26,14.725000000000001,5.465000000000002,2.0,3.0
6.0,0 days 00:04:06.000000000,246.0,2.5799999999999557,0.6100000000000065,3.189999999999962,4.232749999999999,1.0427500000000371,3.0,4.0
7.0,0 days 00:01:33.000000000,93.0,2.100000000000012,0.26599999999999824,2.3660000000000103,0.0,-2.3660000000000103,2.0,2.0
8.0,0 days 00:00:54.000000000,54.0,1.5600000000000023,0.06000000000000938,1.6200000000000117,5.775,4.154999999999989,1.0,1.0
9.0,0 days 00:02:52.000000000,172.0,7.019999999999996,0.9300000000000024,7.949999999999998,3.645,-4.304999999999998,4.0,4.0
10.0,0 days 00:01:11.000000000,71.0,0.11000000000001364,0.10999999999999854,0.22000000000001219,2.0708333333333333,1.8508333333333211,1.0,1.0
11.0,0 days 00:03:34.000000000,214.0,2.699999999999875,0.2800000000000029,2.979999999999878,0.4041666666666666,-2.575833333333211,5.0,4.0
12.0,0 days 00:01:06.000000000,66.0,0.9149999999999636,0.33000000000000007,1.2449999999999637,1.1591666666666667,-0.08583333333329701,1.0,1.0
13.0,0 days 00:02:40.000000000,160.0,3.1399999999999295,0.7999999999999972,3.9399999999999267,9.603333333333333,5.663333333333407,3.0,2.0
14.0,0 days 00:02:14.000000000,134.0,4.189999999999927,0.44999999999998863,4.639999999999915,4.458333333333333,-0.18166666666658227,2.0,1.0
15.0,0 days 00:00:47.000000000,47.0,0.059999999999938325,0.10000000000000853,0.15999999999994685,0.0,-0.15999999999994685,0.0,1.0
16.0,0 days 00:06:24.000000000,384.0,14.639999999999823,4.539999999999986,19.179999999999808,19.246666666666666,0.06666666666685828,10.0,6.0
17.0,0 days 00:02:20.000000000,140.0,3.3599999999998573,0.599999999999989,3.9599999999998463,8.879166666666666,4.91916666666682,1.0,2.0
18.0,0 days 00:05:41.000000000,341.0,10.959999999999837,1.8399999999999697,12.799999999999807,13.4825,0.6825000000001928,8.0,4.0
19.0,0 days 00:02:32.000000000,152.0,0.7799999999998732,0.12999999999999545,0.9099999999998687,6.899166666666668,5.989166666666799,3.0,2.0
20.0,0 days 00:03:28.000000000,208.0,15.499999999999787,2.009999999999973,17.50999999999976,16.769166666666667,-0.740833333333093,7.0,3.0
21.0,0 days 00:02:05.000000000,125.0,4.999999999999716,0.699999999999978,5.699999999999694,6.725,1.0250000000003059,4.0,1.0
22.0,0 days 00:00:58.000000000,58.0,0.03999999999996362,0.10400000000000276,0.14399999999996638,0.0,-0.14399999999996638,2.0,1.0
23.0,0 days 00:02:03.000000000,123.0,4.339999999999989,0.48200000000001353,4.822000000000003,5.65,0.8279999999999976,3.0,3.0
24.0,0 days 00:02:39.000000000,159.0,8.939999999999927,1.5199999999999996,10.459999999999926,13.016666666666667,2.5566666666667412,4.0,3.0
